router_id,hour,avg_speed_mbps,latency_ms,packet_loss_pct,disconnects,connected_devices,signal_dbm
R-1005,2026-08-06T12:00,44.7,25,0.6,0,7,-54
R-1005,2026-08-06T13:00,27.9,36,0.5,0,17,-48
R-1005,2026-08-06T14:00,67.8,42,0.6,1,18,-55
R-1005,2026-08-06T15:00,77.0,12,0.7,1,16,-42
R-1005,2026-08-06T16:00,78.0,13,1.0,1,15,-41
R-1005,2026-08-06T17:00,30.9,38,0.1,0,12,-43
R-1005,2026-08-06T18:00,33.2,18,0.3,1,14,-43
R-1005,2026-08-06T19:00,54.2,39,0.5,1,5,-40
R-1005,2026-08-06T20:00,31.3,45,0.7,0,15,-48
R-1005,2026-08-06T21:00,73.8,36,0.3,1,14,-49
R-1005,2026-08-06T22:00,65.1,30,0.4,1,13,-58
R-1005,2026-08-06T23:00,62.8,40,0.1,0,4,-49
R-1006,2026-08-06T00:00,30.3,33,0.8,0,12,-41
R-1006,2026-08-06T01:00,31.7,32,0.9,1,3,-53
R-1006,2026-08-06T02:00,58.0,32,0.1,0,6,-41
R-1006,2026-08-06T03:00,51.5,16,0.4,1,5,-54
R-1006,2026-08-06T04:00,56.6,37,0.8,0,10,-62
R-1006,2026-08-06T05:00,34.9,29,0.9,1,2,-57
R-1006,2026-08-06T06:00,72.8,35,0.1,0,4,-46
R-1006,2026-08-06T07:00,36.8,36,0.5,0,13,-53
R-1006,2026-08-06T08:00,64.7,15,0.9,0,7,-43
R-1006,2026-08-06T09:00,27.7,15,0.3,1,17,-43
R-1006,2026-08-06T10:00,49.3,27,0.2,0,13,-49
R-1006,2026-08-06T11:00,31.1,41,0.5,1,3,-55
R-1006,2026-08-06T12:00,46.7,13,0.0,1,8,-58
R-1006,2026-08-06T13:00,67.0,28,0.3,0,17,-49
R-1006,2026-08-06T14:00,34.7,34,0.5,0,18,-45
R-1006,2026-08-06T15:00,70.8,32,0.1,0,15,-62
R-1006,2026-08-06T16:00,50.3,14,0.9,1,14,-40
R-1006,2026-08-06T17:00,60.2,28,0.1,0,12,-57
R-1006,2026-08-06T18:00,69.1,39,0.8,1,4,-49
R-1006,2026-08-06T19:00,71.4,25,0.4,1,18,-60
R-1006,2026-08-06T20:00,46.8,29,0.7,0,12,-57
R-1006,2026-08-06T21:00,29.2,17,0.5,0,13,-51
R-1006,2026-08-06T22:00,65.0,19,0.2,0,10,-56
R-1006,2026-08-06T23:00,34.5,19,0.8,0,7,-42
R-1007,2026-08-06T00:00,52.2,38,0.7,1,12,-58
R-1007,2026-08-06T01:00,49.2,40,0.4,1,10,-44
R-1007,2026-08-06T02:00,28.1,42,0.1,1,16,-61
R-1007,2026-08-06T03:00,28.1,28,0.1,0,18,-50
R-1007,2026-08-06T04:00,50.4,45,1.0,0,16,-44
R-1007,2026-08-06T05:00,60.9,30,0.6,0,3,-48
R-1007,2026-08-06T06:00,30.7,31,1.0,0,18,-42
R-1007,2026-08-06T07:00,34.5,25,0.7,1,18,-46
R-1007,2026-08-06T08:00,58.5,33,0.4,1,14,-49
R-1007,2026-08-06T09:00,67.6,13,0.8,1,4,-52
R-1007,2026-08-06T10:00,30.2,34,0.3,0,12,-60
R-1007,2026-08-06T11:00,57.1,19,0.9,1,14,-58
R-1007,2026-08-06T12:00,57.7,15,0.3,1,12,-58
R-1007,2026-08-06T13:00,61.9,43,0.1,1,18,-51
R-1007,2026-08-06T14:00,26.0,29,0.2,0,12,-47
R-1007,2026-08-06T15:00,35.6,18,0.2,1,5,-46
R-1007,2026-08-06T16:00,67.4,43,0.0,1,6,-43
R-1007,2026-08-06T17:00,45.7,20,0.2,0,16,-61
R-1007,2026-08-06T18:00,47.6,25,1.0,1,16,-55
R-1007,2026-08-06T19:00,54.4,29,1.0,1,8,-51
R-1007,2026-08-06T20:00,62.3,38,0.5,1,14,-46
R-1007,2026-08-06T21:00,54.0,20,0.8,0,10,-61
R-1007,2026-08-06T22:00,60.3,33,0.6,0,18,-59
R-1007,2026-08-06T23:00,40.7,20,0.3,0,15,-60
R-1008,2026-08-06T00:00,77.1,24,0.8,1,2,-49
R-1008,2026-08-06T01:00,27.9,42,0.4,1,4,-51
R-1008,2026-08-06T02:00,37.3,30,0.9,1,6,-58
R-1008,2026-08-06T03:00,27.1,40,0.7,0,17,-48
R-1008,2026-08-06T04:00,58.8,15,0.0,0,6,-45
R-1008,2026-08-06T05:00,76.7,43,0.4,1,9,-53
R-1008,2026-08-06T06:00,31.7,25,0.4,1,4,-59
R-1008,2026-08-06T07:00,71.0,41,0.6,0,18,-44
R-1008,2026-08-06T08:00,38.3,19,0.3,0,13,-55
R-1008,2026-08-06T09:00,56.4,21,0.7,0,18,-51
R-1008,2026-08-06T10:00,28.7,43,0.5,0,14,-47
R-1008,2026-08-06T11:00,27.4,34,1.0,1,2,-51
R-1008,2026-08-06T12:00,68.4,32,0.2,0,12,-58
R-1008,2026-08-06T13:00,27.4,44,0.3,0,16,-40
R-1008,2026-08-06T14:00,51.3,21,0.8,0,16,-61
R-1008,2026-08-06T15:00,41.1,12,0.8,0,12,-53
R-1008,2026-08-06T16:00,53.3,44,0.5,0,8,-53
R-1008,2026-08-06T17:00,44.6,13,0.9,1,10,-59
R-1008,2026-08-06T18:00,69.0,37,0.9,1,14,-52
R-1008,2026-08-06T19:00,78.6,41,0.7,1,18,-54
R-1008,2026-08-06T20:00,69.1,37,0.1,0,11,-52
R-1008,2026-08-06T21:00,30.6,30,0.7,1,16,-43
R-1008,2026-08-06T22:00,64.5,20,0.7,1,16,-61
R-1008,2026-08-06T23:00,65.0,32,0.6,1,10,-42
R-1009,2026-08-06T00:00,78.9,13,0.1,1,13,-46
R-1009,2026-08-06T01:00,69.1,20,1.0,0,16,-61
R-1009,2026-08-06T02:00,31.9,25,0.8,1,13,-50
R-1009,2026-08-06T03:00,77.2,12,0.6,1,13,-51
R-1009,2026-08-06T04:00,49.4,14,0.6,1,14,-52
R-1009,2026-08-06T05:00,60.7,25,1.0,0,7,-47
R-1009,2026-08-06T06:00,53.5,45,0.1,1,16,-56
R-1009,2026-08-06T07:00,79.8,28,0.7,1,8,-59
R-1009,2026-08-06T08:00,32.5,14,0.5,1,4,-41
R-1009,2026-08-06T09:00,78.2,30,0.7,0,11,-53
R-1009,2026-08-06T10:00,71.8,21,0.8,0,5,-56
R-1009,2026-08-06T11:00,68.6,25,0.8,0,13,-45
R-1009,2026-08-06T12:00,56.5,39,0.8,0,4,-60
R-1009,2026-08-06T13:00,42.0,40,0.5,1,4,-58
R-1009,2026-08-06T14:00,78.5,14,0.4,1,6,-45
R-1009,2026-08-06T15:00,60.2,21,0.8,0,15,-46
R-1009,2026-08-06T16:00,75.1,13,0.8,0,11,-57
R-1009,2026-08-06T17:00,33.9,24,0.3,1,4,-54
R-1009,2026-08-06T18:00,35.8,45,0.3,1,4,-46
R-1009,2026-08-06T19:00,60.3,19,0.2,1,3,-62
R-1009,2026-08-06T20:00,29.5,26,0.7,1,2,-47
R-1009,2026-08-06T21:00,73.9,44,0.3,1,17,-55
R-1009,2026-08-06T22:00,69.3,35,0.3,0,3,-57
R-1009,2026-08-06T23:00,49.2,40,0.5,1,6,-52
R-1010,2026-08-06T00:00,18.3,100,3.2,3,17,-76
R-1010,2026-08-06T01:00,17.1,125,2.7,3,12,-71
R-1010,2026-08-06T02:00,9.5,117,1.7,1,6,-74
R-1010,2026-08-06T03:00,19.3,138,2.3,2,15,-69
R-1010,2026-08-06T04:00,16.7,84,3.3,4,19,-71
R-1010,2026-08-06T05:00,18.5,123,1.1,4,19,-75
R-1010,2026-08-06T06:00,10.6,105,1.1,3,20,-69
R-1010,2026-08-06T07:00,18.6,120,1.9,1,8,-72
R-1010,2026-08-06T08:00,9.6,93,3.2,4,16,-78
R-1010,2026-08-06T09:00,12.8,132,2.7,3,14,-77
R-1010,2026-08-06T10:00,12.6,117,3.3,3,8,-76
R-1010,2026-08-06T11:00,19.7,110,2.1,3,16,-66
R-1010,2026-08-06T12:00,9.7,137,2.5,1,6,-78
R-1010,2026-08-06T13:00,9.6,102,3.4,4,9,-69
R-1010,2026-08-06T14:00,18.7,77,2.0,3,10,-72
R-1010,2026-08-06T15:00,19.9,98,2.8,4,14,-71
R-1010,2026-08-06T16:00,17.8,107,2.0,1,18,-69
R-1010,2026-08-06T17:00,11.7,140,1.1,4,13,-68
R-1010,2026-08-06T18:00,5.1,249,6.9,8,31,-76
R-1010,2026-08-06T19:00,3.9,217,7.1,11,34,-72
R-1010,2026-08-06T20:00,4.7,154,6.9,6,36,-85
R-1010,2026-08-06T21:00,3.8,203,4.8,8,43,-77
R-1010,2026-08-06T22:00,5.1,210,8.4,5,34,-77
R-1010,2026-08-06T23:00,2.8,191,9.0,12,46,-79
R-1011,2026-08-06T00:00,42.3,21,0.5,1,13,-41
R-1011,2026-08-06T01:00,67.5,26,0.6,0,9,-54
R-1011,2026-08-06T02:00,55.7,24,0.9,1,11,-40
R-1011,2026-08-06T03:00,36.4,41,0.3,1,10,-53
R-1011,2026-08-06T04:00,31.7,44,0.4,1,13,-58
R-1011,2026-08-06T05:00,41.0,28,1.0,0,13,-48
R-1011,2026-08-06T06:00,61.1,40,0.2,1,10,-58
R-1011,2026-08-06T07:00,31.0,25,0.2,0,9,-61
R-1011,2026-08-06T08:00,30.5,31,0.7,0,6,-62
R-1011,2026-08-06T09:00,78.0,20,0.4,1,17,-42
R-1011,2026-08-06T10:00,36.0,28,0.3,0,4,-42
R-1011,2026-08-06T11:00,56.6,44,0.7,0,7,-49
R-1011,2026-08-06T12:00,73.5,21,0.9,0,14,-47
R-1011,2026-08-06T13:00,35.2,28,0.9,0,11,-44
R-1011,2026-08-06T14:00,58.2,31,0.3,1,6,-46
R-1011,2026-08-06T15:00,50.7,22,0.8,1,7,-48
R-1011,2026-08-06T16:00,60.7,21,0.0,1,11,-44
R-1011,2026-08-06T17:00,62.1,22,0.2,1,15,-46
R-1011,2026-08-06T18:00,43.0,35,0.7,0,6,-47
R-1011,2026-08-06T19:00,42.8,25,0.0,1,9,-48
R-1011,2026-08-06T20:00,66.5,31,0.3,0,10,-42
R-1011,2026-08-06T21:00,44.8,25,0.1,0,16,-53
R-1011,2026-08-06T22:00,33.8,42,0.9,1,5,-42
R-1011,2026-08-06T23:00,75.4,28,0.4,0,9,-58
R-1012,2026-08-06T00:00,51.3,39,0.7,1,15,-40
R-1012,2026-08-06T01:00,55.2,40,0.8,0,9,-41
R-1012,2026-08-06T02:00,66.5,15,0.5,1,4,-44
R-1012,2026-08-06T03:00,31.2,45,0.9,0,6,-57
R-1012,2026-08-06T04:00,43.0,43,0.4,0,17,-60
R-1012,2026-08-06T05:00,74.4,38,0.8,1,6,-46
R-1012,2026-08-06T06:00,47.8,13,0.6,1,2,-50
R-1012,2026-08-06T07:00,39.0,10,0.7,0,3,-49
R-1012,2026-08-06T08:00,43.9,14,0.5,0,4,-47
R-1012,2026-08-06T09:00,26.7,36,0.2,0,15,-51
R-1012,2026-08-06T10:00,79.6,34,0.4,1,14,-60
R-1012,2026-08-06T11:00,62.6,44,0.1,1,5,-57
R-1012,2026-08-06T12:00,79.6,35,0.5,0,2,-62
R-1012,2026-08-06T13:00,78.8,39,0.7,1,14,-55
R-1012,2026-08-06T14:00,38.6,32,0.2,0,5,-61
R-1012,2026-08-06T15:00,69.5,36,0.6,0,9,-56
R-1012,2026-08-06T16:00,28.7,12,0.4,0,9,-61
R-1012,2026-08-06T17:00,47.1,24,0.5,0,6,-46
R-1012,2026-08-06T18:00,79.6,24,0.8,1,12,-55
R-1012,2026-08-06T19:00,41.6,19,1.0,0,15,-53
R-1012,2026-08-06T20:00,40.1,45,0.9,0,15,-45
R-1012,2026-08-06T21:00,52.3,32,0.9,1,18,-52
R-1012,2026-08-06T22:00,63.3,36,0.1,1,7,-45
R-1012,2026-08-06T23:00,51.0,24,0.3,0,16,-61
R-1013,2026-08-06T00:00,55.9,36,0.6,0,14,-55
R-1013,2026-08-06T01:00,39.0,31,0.6,1,13,-60
R-1013,2026-08-06T02:00,54.5,22,0.1,1,3,-60
R-1013,2026-08-06T03:00,35.3,45,0.2,0,12,-53
R-1013,2026-08-06T04:00,77.6,10,0.2,0,5,-47
R-1013,2026-08-06T05:00,75.3,23,0.4,0,12,-53
R-1013,2026-08-06T06:00,45.9,44,0.6,1,10,-51
R-1013,2026-08-06T07:00,53.2,41,0.5,1,12,-56
R-1013,2026-08-06T08:00,45.4,36,0.0,0,6,-62
R-1013,2026-08-06T09:00,39.3,36,0.3,0,12,-55
R-1013,2026-08-06T10:00,45.9,25,0.5,1,10,-47
R-1013,2026-08-06T11:00,78.2,41,0.5,1,7,-58
R-1013,2026-08-06T12:00,64.6,41,0.2,0,18,-61
R-1013,2026-08-06T13:00,71.1,14,0.9,0,2,-49
R-1013,2026-08-06T14:00,32.6,24,0.1,0,2,-56
R-1013,2026-08-06T15:00,52.8,33,0.1,1,17,-62
R-1013,2026-08-06T16:00,25.4,45,0.4,0,18,-54
R-1013,2026-08-06T17:00,54.5,28,0.0,1,7,-59
R-1013,2026-08-06T18:00,75.5,43,0.1,0,18,-54
R-1013,2026-08-06T19:00,69.8,27,0.8,0,13,-50
R-1013,2026-08-06T20:00,50.2,25,1.0,0,11,-41
R-1013,2026-08-06T21:00,70.5,15,0.7,0,4,-50
R-1013,2026-08-06T22:00,45.9,45,0.5,0,7,-60
R-1013,2026-08-06T23:00,52.5,37,0.6,1,5,-46
R-1014,2026-08-06T00:00,75.6,24,0.2,1,10,-61
R-1014,2026-08-06T01:00,75.8,27,0.9,0,7,-52
R-1014,2026-08-06T02:00,25.9,23,0.6,1,4,-53
R-1014,2026-08-06T03:00,33.9,25,0.6,1,12,-50
R-1014,2026-08-06T04:00,66.6,18,0.8,0,18,-51
R-1014,2026-08-06T05:00,28.0,37,0.2,0,12,-43
R-1014,2026-08-06T06:00,67.3,35,1.0,1,2,-42
R-1014,2026-08-06T07:00,40.0,38,0.5,1,14,-49
R-1014,2026-08-06T08:00,35.2,34,0.1,1,9,-40
R-1014,2026-08-06T09:00,29.0,27,0.2,0,14,-52
R-1014,2026-08-06T10:00,44.8,15,0.0,1,16,-51
R-1014,2026-08-06T11:00,66.9,16,0.1,0,15,-48
R-1014,2026-08-06T12:00,55.6,42,0.4,0,4,-51
R-1014,2026-08-06T13:00,55.5,30,0.9,0,11,-49
R-1014,2026-08-06T14:00,46.3,15,0.7,0,18,-57
R-1014,2026-08-06T15:00,62.7,20,0.1,1,10,-47
R-1014,2026-08-06T16:00,33.0,20,0.4,1,11,-47
R-1014,2026-08-06T17:00,68.0,33,0.3,0,17,-43
R-1014,2026-08-06T18:00,58.9,39,0.1,1,2,-50
R-1014,2026-08-06T19:00,43.3,34,0.8,1,16,-52
R-1014,2026-08-06T20:00,48.7,18,0.3,0,17,-52
R-1014,2026-08-06T21:00,34.8,35,1.0,1,17,-44
R-1014,2026-08-06T22:00,68.0,30,0.4,1,13,-59
R-1014,2026-08-06T23:00,76.3,22,0.6,0,2,-48
R-1015,2026-08-06T00:00,76.9,23,0.4,1,4,-49
R-1015,2026-08-06T01:00,62.0,18,0.6,0,10,-41
R-1015,2026-08-06T02:00,33.5,37,0.8,0,16,-43
R-1015,2026-08-06T03:00,51.4,35,0.5,1,3,-51
R-1015,2026-08-06T04:00,63.6,44,0.6,0,5,-55
R-1015,2026-08-06T05:00,61.2,32,0.2,0,14,-52
R-1015,2026-08-06T06:00,78.1,37,0.1,0,10,-55
R-1015,2026-08-06T07:00,53.1,43,0.6,0,16,-51
R-1015,2026-08-06T08:00,46.5,42,0.2,0,17,-59
R-1015,2026-08-06T09:00,41.2,15,0.1,0,13,-53
R-1015,2026-08-06T10:00,43.9,23,0.5,1,17,-59
R-1015,2026-08-06T11:00,49.1,38,0.3,1,3,-40
R-1015,2026-08-06T12:00,31.3,31,0.6,0,9,-46
R-1015,2026-08-06T13:00,34.6,20,0.3,1,16,-55
R-1015,2026-08-06T14:00,68.9,21,0.2,1,14,-62
R-1015,2026-08-06T15:00,65.6,22,0.4,1,14,-62
R-1015,2026-08-06T16:00,63.8,23,0.3,0,5,-45
R-1015,2026-08-06T17:00,35.3,30,0.2,0,10,-41
R-1015,2026-08-06T18:00,72.4,43,1.0,1,14,-43
R-1015,2026-08-06T19:00,46.6,17,0.3,1,7,-41
R-1015,2026-08-06T20:00,63.8,29,0.9,0,6,-52
R-1015,2026-08-06T21:00,31.5,29,0.1,1,6,-46
R-1015,2026-08-06T22:00,46.4,18,0.6,1,7,-47
R-1015,2026-08-06T23:00,60.0,21,0.6,1,11,-58
R-1016,2026-08-06T00:00,35.3,38,0.6,1,2,-47
R-1016,2026-08-06T01:00,32.5,34,1.0,1,15,-41
R-1016,2026-08-06T02:00,52.0,38,0.5,0,2,-55
R-1016,2026-08-06T03:00,41.1,27,0.2,1,7,-48
R-1016,2026-08-06T04:00,56.1,41,0.5,0,5,-54
R-1016,2026-08-06T05:00,67.6,33,0.5,0,16,-45
R-1016,2026-08-06T06:00,37.0,37,0.1,0,11,-61
R-1016,2026-08-06T07:00,49.7,32,0.9,0,16,-59
R-1016,2026-08-06T08:00,67.7,25,0.2,1,15,-57
R-1016,2026-08-06T09:00,58.9,23,0.8,0,13,-45
R-1016,2026-08-06T10:00,40.5,44,0.2,1,11,-44
R-1016,2026-08-06T11:00,39.7,42,1.0,0,6,-49
R-1016,2026-08-06T12:00,75.5,27,0.9,0,6,-55
R-1016,2026-08-06T13:00,33.0,30,0.8,1,17,-58
R-1016,2026-08-06T14:00,56.8,27,0.6,1,16,-60
R-1016,2026-08-06T15:00,59.8,15,0.4,1,13,-48
R-1016,2026-08-06T16:00,77.3,30,0.6,0,16,-42
R-1016,2026-08-06T17:00,61.5,32,0.9,1,8,-49
R-1016,2026-08-06T18:00,70.4,41,0.3,1,12,-45
R-1016,2026-08-06T19:00,56.8,41,0.8,0,3,-59
R-1016,2026-08-06T20:00,59.4,39,0.0,0,16,-48
R-1016,2026-08-06T21:00,25.0,37,0.2,0,11,-57
R-1016,2026-08-06T22:00,73.1,27,0.1,1,10,-60
R-1016,2026-08-06T23:00,45.5,20,0.1,1,9,-49
R-1017,2026-08-06T00:00,61.1,16,0.0,1,4,-58
R-1017,2026-08-06T01:00,57.7,43,0.7,0,2,-40
R-1017,2026-08-06T02:00,43.9,17,1.0,1,6,-47
R-1017,2026-08-06T03:00,28.9,34,0.1,0,5,-52
R-1017,2026-08-06T04:00,45.2,29,0.1,0,6,-60
R-1017,2026-08-06T05:00,54.2,10,0.6,0,16,-51
R-1017,2026-08-06T06:00,64.7,19,0.9,1,8,-60
R-1017,2026-08-06T07:00,74.3,18,0.8,1,13,-49
R-1017,2026-08-06T08:00,42.3,18,0.2,0,9,-45
R-1017,2026-08-06T09:00,58.1,28,0.8,0,11,-56
R-1017,2026-08-06T10:00,53.5,42,0.2,1,11,-42
R-1017,2026-08-06T11:00,28.0,25,0.5,0,9,-47
R-1017,2026-08-06T12:00,60.1,14,0.5,0,13,-52
